Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies)
"1211447933524560",2025-09-23,,2025-09-23,Follow Up on Recertification Packet,,,,,,,"    Due Date: 60 days before the lease expiration.
    Description: Remind the tenant to return the completed recertification packet. LIHTC rules are strict, and you cannot renew a lease without a completed recertification.
",,60 Days Before Lease Expiration - Compliance Coordinator,,
"1211447933524561",2025-09-23,,2025-09-23,Call the Tenant,,,,,,,,,Follow Up on Recertification Packet,,
"1211447933524562",2025-09-23,,2025-09-23,Send a reminder email or certified letter,,,,,,,,,Follow Up on Recertification Packet,,
"1211447933524563",2025-09-23,,2025-09-23,Review and Verify Recertification Documents,,,,,,,"    Due Date: 45 days before the lease expiration.
    Description: Upon receiving the completed packet, meticulously review all documents for accuracy and completeness.
",,60 Days Before Lease Expiration - Compliance Coordinator,,
"1211447933524564",2025-09-23,,2025-09-23,"Verify all sources of income using third-party documentation (e.g., pay stubs, bank statements, Social Security award letters).",,,,,,,,,Review and Verify Recertification Documents,,
"1211447933524565",2025-09-23,,2025-09-23,Check for any changes in household composition.,,,,,,,,,Review and Verify Recertification Documents,,
"1211447933524566",2025-09-23,,2025-09-23,Calculate the household's annual income and ensure it remains below the LIHTC Area Median Income (AMI) limit for their household size.,,,,,,,,,Review and Verify Recertification Documents,,
"1211447933524567",2025-09-23,,2025-09-23,"If the income calculation indicates the household is no longer income-eligible, flag the file for review by the Compliance Manager.",,,,,,,,,Review and Verify Recertification Documents,,
"1211447933524568",2025-09-23,,2025-09-23,30-45 Days Before Lease Expiration - Compliance Coordinator,,,,,,,,,Renewal Workflow,,
"1211447933524569",2025-09-23,,2025-09-23,Prepare and Issue Lease Renewal Agreement,,,,,,,"    Due Date: 30-45 days before the lease expiration.
    Description: Draft the new lease agreement. This agreement must reflect the LIHTC rent-restricted limits and any changes in rent due to the recertification.
",,30-45 Days Before Lease Expiration - Compliance Coordinator,,
"1211447933524570",2025-09-23,,2025-09-23,Calculate the new rent amount based on the household income and current utility allowance.,,,,,,,,,Prepare and Issue Lease Renewal Agreement,,
"1211447933524571",2025-09-23,,2025-09-23,Send the new lease agreement to the tenant for signature. Iowa law (Iowa Code § 562A.13) requires written notice of any rent increase at least 30 days before the effective date.,,,,,,,,,Prepare and Issue Lease Renewal Agreement,,
"1211447933524572",2025-09-23,,2025-09-23,Handle Non-Compliance (If Applicable),,,,,,,"    Due Date: Immediately after the 30-day notice period for rent increase.
    Description: If a tenant fails to recertify or their income is over the limit, determine the correct course of action.

    Note: For LIHTC, if a tenant's income exceeds the limit, they may be required to pay market-rate rent. However, they cannot be evicted for this reason, provided their income was within the limits at initial move-in. The LIHTC unit may also become a ""market rate"" unit, which can affect the property's overall compliance.
",,30-45 Days Before Lease Expiration - Compliance Coordinator,,
"1211447933524574",2025-09-23,,2025-09-23,"Consult with a compliance specialist to confirm the appropriate status of the unit (e.g., ""over-income"" or ""market rate"").",,,,,,,,,Handle Non-Compliance (If Applicable),,
"1211447933524575",2025-09-23,,2025-09-23," If non-compliance is due to failure to submit paperwork, serve a written notice of non-compliance. This can be considered a lease violation, and depending on your lease, you can then proceed with termination.",,,,,,,,,Handle Non-Compliance (If Applicable),,
"1211447933524576",2025-09-23,,2025-09-23,After Lease Renewal - Compliance Coordinator,,,,,,,,,Renewal Workflow,,
"1211447933524577",2025-09-23,,2025-09-23,Finalize and File All Documents,,,,,,,"    Due Date: Within 7 days of lease renewal.
    Description: Scan and file all signed lease agreements and completed recertification documents in the tenant's file.
",,After Lease Renewal - Compliance Coordinator,,
"1211447933524578",2025-09-23,,2025-09-23,Update the property management software with the new lease term and rent.,,,,,,,,,Finalize and File All Documents,,
"1211447933524579",2025-09-23,,2025-09-23,Upload the Tenant Income Certification (TIC) and all supporting documents to your LIHTC compliance software or record-keeping system for audit.,,,,,,,,,Finalize and File All Documents,,
"1211447933524580",2025-09-23,,2025-09-23,Prepare for Annual Owner's Certification of Continuing Program Compliance (Form 8609) - Accountant,,,,,,,"    Due Date: Annually, as required by the state housing finance agency.
    Description: Compile all recertification data for the year to complete the annual IRS and state agency compliance reports. This includes a certification that all LIHTC units meet the applicable fraction, income limits, and rent restrictions.
",,After Lease Renewal - Compliance Coordinator,,
"1211447932621805",2025-09-23,,2025-09-23,Delinquent Rent Workflow,Untitled section,,,,,,,Apollo Apartments,,,
"1211447932621807",2025-09-23,,2025-09-23,Initial Actions - Property Manager,,,,,,,,,Delinquent Rent Workflow,,
"1211447932621812",2025-09-23,,2025-09-23,Check for Rent Payment,,,,,,,"Due Day after Rent is due

Confirm rent has not been paid. Check all payment methods (e.g., online portal, check).",,Initial Actions - Property Manager,,
"1211447932621815",2025-09-23,,2025-09-23,Send friendly reminder email/text,,,,,,,,,Check for Rent Payment,,
"1211447932621816",2025-09-23,,2025-09-23,Calculate Late Fees,,,,,,,"Due Date: As soon as a late fee can be charged, per the lease agreement.

Calculate the late fee in accordance with Iowa Code § 562A.9.
    Note: If rent is under $700, the late fee is capped at $12 per day or a total of $60 per month.

    If rent is over $700, the late fee is capped at $20 per day or a total of $100 per month.
",,Initial Actions - Property Manager,,
"1211447932621817",2025-09-23,,2025-09-23,Prepare & Serve the 3-Day Notice,,,,,,,"    Due Date: Day after the grace period ends (if applicable) or as soon as the late fee is applied.

    Description: Create a written notice of nonpayment. Iowa law requires a minimum 3-day notice to quit for nonpayment of rent. This notice must state that the lease will terminate if the rent is not paid within three days.
",,Initial Actions - Property Manager,,
"1211447932621818",2025-09-23,,2025-09-23,Print Notice,,,,,,,,,Prepare & Serve the 3-Day Notice,,
"1211447932621819",2025-09-23,,2025-09-23,Serve Notice using one of the legally accepted methods,,,,,,,"    Personal delivery (tenant signs an acknowledgment).
    Posting on the main entrance and sending via certified and regular mail.
    Personal service by a process server or sheriff.
",,Prepare & Serve the 3-Day Notice,,
"1211447933524547",2025-09-23,,2025-09-23,Document method of service and delivery,,,,,,,Take a picture and upload here to asana with date,,Prepare & Serve the 3-Day Notice,,
"1211447932621809",2025-09-23,,2025-09-23,Post-Notice Follow-Up,,,,,,,,,Delinquent Rent Workflow,,
"1211447933524548",2025-09-23,,2025-09-23,(Days 1-3) Monitor for Payment - PM,,,,,,,"    Due Date: 3 days after notice is served.
    Description: Regularly check for payment. If the tenant pays the full amount within the 3-day period, the lease termination is voided, and the eviction process stops.
    Rule: If the task is marked complete and payment is received, move this task to a ""Paid"" section and automatically create a ""Record Payment"" task.
",,Post-Notice Follow-Up,,
"1211447933524551",2025-09-23,,2025-09-23,(Day 2) Attempt Contact with Tenant - PM,,,,,,,"    Due Date: Day 2 of the 3-day notice period.
    Description: Make a good faith effort to contact the tenant to confirm they received the notice and to discuss a payment plan or next steps.
",,Post-Notice Follow-Up,,
"1211447932621810",2025-09-23,,2025-09-24,Escalation to Eviction,,,,,,,,,Delinquent Rent Workflow,,
"1211447933524552",2025-09-23,,2025-09-23,Consult with Legal Counsel - Legal Team,,,,,,,"    Due Date: After the 3-day notice period expires.
    Description: Before filing for eviction, confirm with a lawyer that all prior steps were completed correctly according to Iowa law.
",,Escalation to Eviction,,
"1211447933524553",2025-09-23,,2025-09-23,File Forcible Entry and Detainer (FED) - Legal Team,,,,,,,"    Due Date: As soon as legally permitted after consulting with counsel.
    Description: File an eviction lawsuit in court. The court will then issue a court date and a court order to serve the tenant with a Notice of Hearing and a Petition for Forcible Entry and Detainer.
",,Escalation to Eviction,,
"1211447933524554",2025-09-23,,2025-09-23,Attend Court Hearing - Legal Team,,,,,,,"    Due Date: Court date.
    Description: Present the case to the judge, providing all documentation, including the lease agreement, payment ledger, and proof of service for the 3-day notice.
",,Escalation to Eviction,,
"1211447933524555",2025-09-23,,2025-09-23,Schedule Writ of Possession/Removal - Legal Team,,,,,,,"    Due Date: After receiving a favorable judgment.
    Description: If the court rules in your favor, file a Writ of Possession with the sheriff's office. The sheriff will then serve the tenant with a notice to vacate and, if necessary, oversee the removal of the tenant and their belongings.
",,Escalation to Eviction,,
"1208704778510658",2025-09-24,,2025-09-24,Start Turnover Workflow,,,,,,,,,Escalation to Eviction,,
